,LapTimeZScore,IsPitLap,Compound,TyreLife,FreshTyre,LapNumber,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,CompoundNumeric
815,-0.3163104282032764,False,C3,12,True,17,29.5,49,991.0,False,35.4,106,4.5,3
816,2.9912252997989763,True,C3,13,True,18,29.4,48,991.0,False,35.7,102,7.1,3
817,2.002025127655303,False,C2,2,True,20,29.7,49,990.7,False,36.1,106,5.5,2
818,3.0438531431850855,False,C2,3,True,21,30.0,47,990.7,False,36.7,99,6.0,2
819,3.4087470530145407,False,C2,4,True,22,29.9,47,990.7,False,36.3,109,4.5,2
820,3.783466332746555,False,C2,7,True,25,29.8,49,990.7,False,36.2,108,6.3,2
821,-0.27621840158939265,False,C2,8,True,26,29.8,49,990.5,False,35.9,114,5.4,2
822,-0.39378403456137107,False,C2,9,True,27,29.7,50,990.4,False,35.3,108,6.0,2
823,-0.3661148894334793,False,C2,10,True,28,29.6,49,990.5,False,35.9,111,5.8,2
824,-0.39886612244200437,False,C2,11,True,29,29.8,48,990.4,False,36.3,110,6.1,2
825,-0.39818851072458655,False,C2,12,True,30,29.8,48,990.4,False,36.4,113,5.5,2
826,-0.3707452361691685,False,C2,13,True,31,29.8,48,990.2,False,35.7,109,5.1,2
827,-0.3903959759742822,False,C2,14,True,32,29.6,49,990.5,False,35.6,124,4.6,2
828,-0.3487228553530909,False,C2,15,True,33,29.6,47,990.2,False,36.2,95,5.8,2
829,-0.4514939658281152,False,C2,16,True,34,29.7,48,990.2,False,36.7,116,6.9,2
830,-0.47396808778913685,False,C2,17,True,35,29.5,48,990.2,False,36.6,99,8.1,2
831,-0.39649448143104216,False,C2,18,True,36,29.6,49,990.2,False,36.5,88,6.3,2
832,-0.38215170007903376,False,C2,19,True,37,29.3,49,990.2,False,35.9,105,5.4,2
833,-0.19196867805711862,False,C2,20,True,38,29.3,49,990.2,False,35.8,107,5.8,2
834,-0.4760009229413902,False,C2,21,True,39,29.4,49,990.2,False,35.8,100,5.5,2
835,-0.45522083027391297,False,C2,22,True,40,29.8,48,990.0,False,36.9,106,5.6,2
836,-0.47746908166246255,False,C2,23,True,41,30.1,47,990.2,False,37.1,115,5.1,2
837,-0.48526161641276694,False,C2,24,True,42,30.4,46,990.2,False,37.5,81,2.2,2
838,-0.5005078800546667,False,C2,25,True,43,30.6,45,990.0,False,37.3,95,7.9,2
839,-0.49440937459790685,False,C2,26,True,44,30.3,46,990.0,False,37.5,99,8.6,2
840,-0.47611385822762703,False,C2,27,True,45,30.4,46,990.0,False,37.5,100,6.6,2
841,-0.5062675796527162,False,C2,28,True,46,30.5,46,990.2,False,37.5,105,3.7,2
842,-0.4383934726247055,False,C2,29,True,47,30.5,47,990.0,False,36.9,142,4.6,2
843,-0.518803396424945,False,C2,30,True,48,30.6,46,990.0,False,37.2,106,4.5,2
844,-0.4470894896648997,False,C2,31,True,49,30.5,46,990.0,False,36.8,101,3.7,2
