Circuit,Strategy,MeanZScore
Catalunya,"[17, 33]",0.25447410345077515
Catalunya,"[14, 41]",0.25454264879226685
Catalunya,"[10, 44]",0.25458309054374695
Catalunya,"[23, 33]",0.2545930743217468
Catalunya,"[31, 43]",0.25462380051612854
Catalunya,"[13, 35]",0.25465917587280273
Catalunya,"[33, 46]",0.2546691298484802
Catalunya,"[17, 44]",0.2546941339969635
Catalunya,"[13, 39]",0.2547052204608917
Catalunya,"[16, 33]",0.25471216440200806
Catalunya,"[19, 31]",0.25477135181427
Catalunya,"[30, 40]",0.2548229694366455
Catalunya,"[17, 32]",0.2548699378967285
Catalunya,"[32, 47]",0.25487542152404785
Catalunya,"[15, 43]",0.25494351983070374
Catalunya,"[29, 38]",0.25496312975883484
Catalunya,"[10, 45]",0.2549808621406555
Catalunya,"[16, 31]",0.2549895942211151
Catalunya,"[32, 45]",0.25499966740608215
Catalunya,"[18, 31]",0.25503063201904297
Catalunya,"[16, 32]",0.2550323009490967
Catalunya,"[17, 31]",0.25503236055374146
Catalunya,"[27, 48]",0.25503408908843994
Catalunya,"[13, 34]",0.2550487816333771
Catalunya,"[17, 45]",0.25509434938430786
Catalunya,"[25, 48]",0.2551208436489105
Catalunya,"[31, 42]",0.2551252543926239
Catalunya,"[12, 36]",0.2551334500312805
Catalunya,"[15, 46]",0.2551492154598236
Catalunya,"[18, 47]",0.25518083572387695
Catalunya,"[12, 37]",0.2552049458026886
Catalunya,"[13, 31]",0.25524646043777466
Catalunya,"[21, 31]",0.2552616596221924
Catalunya,"[24, 48]",0.2552839517593384
Catalunya,"[11, 36]",0.2553071975708008
Catalunya,"[28, 36]",0.25531476736068726
Catalunya,"[26, 35]",0.25533270835876465
Catalunya,"[26, 48]",0.25534021854400635
Catalunya,"[14, 42]",0.2553558647632599
Catalunya,"[16, 43]",0.25537458062171936
Catalunya,"[22, 32]",0.25539931654930115
Catalunya,"[23, 48]",0.2554381191730499
Catalunya,"[15, 44]",0.2554793357849121
Catalunya,"[13, 33]",0.2554973065853119
Catalunya,"[13, 40]",0.2555205821990967
Catalunya,"[13, 32]",0.25555485486984253
Catalunya,"[16, 46]",0.25556981563568115
Catalunya,"[12, 35]",0.2556305527687073
Catalunya,"[12, 38]",0.25563859939575195
Catalunya,"[25, 34]",0.2556527853012085
Catalunya,"[11, 35]",0.2558043301105499
Catalunya,"[15, 45]",0.2558901011943817
Catalunya,"[16, 44]",0.25589990615844727
Catalunya,"[11, 37]",0.25591370463371277
Catalunya,"[32, 44]",0.25592344999313354
Catalunya,"[12, 34]",0.2560214698314667
Catalunya,"[34, 46]",0.25607484579086304
Catalunya,"[12, 31]",0.25609198212623596
Catalunya,"[29, 48]",0.2561242878437042
Catalunya,"[11, 31]",0.25617361068725586
Catalunya,"[33, 47]",0.2561759650707245
Catalunya,"[24, 33]",0.25618430972099304
Catalunya,"[11, 34]",0.25619521737098694
Catalunya,"[12, 39]",0.2562035620212555
Catalunya,"[23, 32]",0.2562413811683655
Catalunya,"[30, 39]",0.2562750577926636
Catalunya,"[16, 45]",0.2563106417655945
Catalunya,"[11, 38]",0.25633931159973145
Catalunya,"[13, 41]",0.25634825229644775
Catalunya,"[22, 48]",0.25635138154029846
Catalunya,"[12, 33]",0.25642603635787964
Catalunya,"[12, 32]",0.2564341425895691
Catalunya,"[31, 41]",0.25650233030319214
Catalunya,"[22, 31]",0.25652581453323364
Catalunya,"[11, 32]",0.25656524300575256
Catalunya,"[11, 33]",0.2566010355949402
Catalunya,"[14, 43]",0.2566240727901459
Catalunya,"[33, 45]",0.256744921207428
Catalunya,"[32, 43]",0.25679898262023926
Catalunya,"[14, 46]",0.25682973861694336
Catalunya,"[21, 48]",0.2568889260292053
Catalunya,"[17, 47]",0.2569126784801483
Catalunya,"[27, 35]",0.25691497325897217
Catalunya,"[11, 39]",0.25692084431648254
Catalunya,"[29, 37]",0.25700056552886963
Catalunya,"[12, 40]",0.2570355236530304
Catalunya,"[14, 44]",0.25715988874435425
Catalunya,"[13, 42]",0.2571720480918884
Catalunya,"[35, 46]",0.2575537860393524
Catalunya,"[34, 47]",0.25756290555000305
Catalunya,"[14, 45]",0.25757068395614624
Catalunya,"[30, 48]",0.2576242983341217
Catalunya,"[33, 44]",0.2577078640460968
Catalunya,"[15, 47]",0.2577083706855774
Catalunya,"[23, 31]",0.2577195167541504
Catalunya,"[32, 42]",0.2577208876609802
Catalunya,"[26, 34]",0.25775930285453796
Catalunya,"[11, 40]",0.2577633559703827
Catalunya,"[12, 41]",0.2578737139701843
Catalunya,"[20, 48]",0.25792551040649414
Catalunya,"[31, 40]",0.25794458389282227
Catalunya,"[25, 33]",0.25801265239715576
Catalunya,"[24, 32]",0.2580786943435669
Catalunya,"[30, 38]",0.2581067979335785
Catalunya,"[16, 47]",0.25812894105911255
Catalunya,"[34, 45]",0.2581898272037506
Catalunya,"[13, 43]",0.258440226316452
Catalunya,"[11, 41]",0.2586015462875366
Catalunya,"[13, 46]",0.2586459517478943
Catalunya,"[12, 42]",0.2586974501609802
Catalunya,"[13, 44]",0.2589760422706604
Catalunya,"[33, 43]",0.2589849531650543
Catalunya,"[35, 47]",0.2590026259422302
Catalunya,"[32, 41]",0.2591528594493866
Catalunya,"[13, 45]",0.2593867778778076
Catalunya,"[14, 47]",0.25938892364501953
Catalunya,"[11, 42]",0.25942525267601013
Catalunya,"[31, 48]",0.25947725772857666
Catalunya,"[31, 39]",0.25950512290000916
Catalunya,"[34, 44]",0.25955432653427124
Catalunya,"[19, 48]",0.259870320558548
Catalunya,"[33, 42]",0.25996166467666626
Catalunya,"[12, 43]",0.2599656581878662
Catalunya,"[35, 45]",0.2600702941417694
Catalunya,"[12, 46]",0.26015836000442505
Catalunya,"[12, 44]",0.2605014741420746
Catalunya,"[11, 43]",0.2606934905052185
Catalunya,"[32, 40]",0.26070356369018555
Catalunya,"[11, 46]",0.2608731687068939
Catalunya,"[34, 43]",0.26088622212409973
Catalunya,"[32, 48]",0.26090359687805176
Catalunya,"[12, 45]",0.2609122693538666
Catalunya,"[28, 49]",0.2609739899635315
Catalunya,"[13, 47]",0.26119208335876465
Catalunya,"[11, 44]",0.2612293064594269
Catalunya,"[35, 44]",0.2614896297454834
Catalunya,"[33, 41]",0.26150211691856384
Catalunya,"[18, 48]",0.26160523295402527
Catalunya,"[11, 45]",0.26162707805633545
Catalunya,"[27, 49]",0.2619042694568634
Catalunya,"[34, 42]",0.26197144389152527
Catalunya,"[33, 48]",0.2619834542274475
Catalunya,"[25, 49]",0.2619898021221161
Catalunya,"[24, 49]",0.26215288043022156
Catalunya,"[26, 49]",0.2622091770172119
Catalunya,"[23, 49]",0.2623070180416107
Catalunya,"[12, 47]",0.2627045214176178
Catalunya,"[29, 49]",0.26286745071411133
Catalunya,"[35, 43]",0.2629300057888031
Catalunya,"[34, 48]",0.2629444897174835
Catalunya,"[22, 49]",0.26321226358413696
Catalunya,"[17, 48]",0.26333707571029663
Catalunya,"[21, 49]",0.2637663781642914
Catalunya,"[15, 48]",0.2641328275203705
Catalunya,"[30, 49]",0.2643519937992096
Catalunya,"[35, 48]",0.26436546444892883
Catalunya,"[16, 48]",0.26455336809158325
Catalunya,"[20, 49]",0.26481348276138306
Catalunya,"[14, 48]",0.2658003568649292
Catalunya,"[28, 50]",0.2659285366535187
Catalunya,"[31, 49]",0.26602381467819214
Catalunya,"[19, 49]",0.2667583227157593
Catalunya,"[27, 50]",0.2668575644493103
Catalunya,"[25, 50]",0.2669430673122406
Catalunya,"[24, 50]",0.26710614562034607
Catalunya,"[26, 50]",0.2671624422073364
Catalunya,"[23, 50]",0.26725226640701294
Catalunya,"[32, 49]",0.2673967778682709
Catalunya,"[13, 48]",0.2676035165786743
Catalunya,"[28, 51]",0.26763805747032166
Catalunya,"[29, 50]",0.26770538091659546
Catalunya,"[22, 50]",0.26817408204078674
Catalunya,"[28, 52]",0.2684229910373688
Catalunya,"[33, 49]",0.268475204706192
Catalunya,"[18, 49]",0.2684932351112366
Catalunya,"[27, 51]",0.2685670554637909
Catalunya,"[25, 51]",0.2686525583267212
Catalunya,"[21, 50]",0.268738716840744
Catalunya,"[24, 51]",0.26880764961242676
Catalunya,"[26, 51]",0.268871933221817
Catalunya,"[23, 51]",0.2689703106880188
Catalunya,"[30, 50]",0.26915931701660156
Catalunya,"[34, 49]",0.26921555399894714
Catalunya,"[27, 52]",0.269351989030838
Catalunya,"[29, 51]",0.2694161534309387
Catalunya,"[25, 52]",0.269429475069046
Catalunya,"[24, 52]",0.26960113644599915
Catalunya,"[26, 52]",0.26965686678886414
Catalunya,"[23, 52]",0.26977431774139404
Catalunya,"[20, 50]",0.2697858214378357
Catalunya,"[22, 51]",0.26990267634391785
Catalunya,"[29, 52]",0.27020108699798584
Catalunya,"[35, 49]",0.2702106535434723
Catalunya,"[17, 49]",0.27022504806518555
Catalunya,"[28, 53]",0.2703807055950165
Catalunya,"[21, 51]",0.2704673111438751
Catalunya,"[22, 52]",0.2707066535949707
Catalunya,"[30, 51]",0.2707534730434418
Catalunya,"[31, 50]",0.27079981565475464
Catalunya,"[15, 49]",0.27100780606269836
Catalunya,"[28, 54]",0.2711842358112335
Catalunya,"[21, 52]",0.271271288394928
Catalunya,"[27, 53]",0.2713097333908081
Catalunya,"[25, 53]",0.271395742893219
Catalunya,"[16, 49]",0.27144137024879456
Catalunya,"[20, 51]",0.2715144157409668
Catalunya,"[30, 52]",0.27153968811035156
Catalunya,"[24, 53]",0.271577924489975
Catalunya,"[26, 53]",0.27160659432411194
Catalunya,"[19, 50]",0.2717306911945343
Catalunya,"[23, 53]",0.2717511057853699
Catalunya,"[32, 50]",0.2719714939594269
Catalunya,"[27, 54]",0.27210521697998047
Catalunya,"[29, 53]",0.27215880155563354
Catalunya,"[25, 54]",0.2722183167934418
Catalunya,"[20, 52]",0.27231836318969727
Catalunya,"[31, 51]",0.2723633944988251
Catalunya,"[24, 54]",0.27240049839019775
Catalunya,"[26, 54]",0.2724186182022095
Catalunya,"[23, 54]",0.2725737392902374
Catalunya,"[14, 49]",0.2726753354072571
Catalunya,"[28, 55]",0.27267763018608093
Catalunya,"[22, 53]",0.27268344163894653
Catalunya,"[29, 54]",0.2729623019695282
Catalunya,"[28, 57]",0.2729651629924774
Catalunya,"[33, 50]",0.27302202582359314
Catalunya,"[31, 52]",0.2730329930782318
Catalunya,"[21, 53]",0.2732481360435486
Catalunya,"[19, 51]",0.27345922589302063
Catalunya,"[18, 50]",0.2734655737876892
Catalunya,"[30, 53]",0.27349740266799927
Catalunya,"[32, 51]",0.27350378036499023
Catalunya,"[22, 54]",0.2735060453414917
Catalunya,"[28, 56]",0.27355268597602844
Catalunya,"[27, 55]",0.2736152112483978
Catalunya,"[25, 55]",0.2737388610839844
Catalunya,"[34, 50]",0.27376091480255127
Catalunya,"[27, 57]",0.2739132344722748
Catalunya,"[24, 55]",0.27392104268074036
Catalunya,"[26, 55]",0.2739391624927521
Catalunya,"[25, 57]",0.27403688430786133
Catalunya,"[21, 54]",0.274070680141449
Catalunya,"[23, 55]",0.27409422397613525
Catalunya,"[32, 52]",0.2741427719593048
Catalunya,"[24, 57]",0.2742190361022949
Catalunya,"[26, 57]",0.27423718571662903
Catalunya,"[19, 52]",0.2742632329463959
Catalunya,"[20, 53]",0.27429521083831787
Catalunya,"[30, 54]",0.2743009328842163
Catalunya,"[33, 51]",0.274336576461792
Catalunya,"[23, 57]",0.27437925338745117
Catalunya,"[29, 55]",0.27446380257606506
Catalunya,"[27, 56]",0.2745007574558258
Catalunya,"[35, 50]",0.27450987696647644
Catalunya,"[25, 56]",0.27462437748908997
Catalunya,"[29, 57]",0.27472421526908875
Catalunya,"[24, 56]",0.27480658888816833
Catalunya,"[26, 56]",0.27482470870018005
Catalunya,"[33, 52]",0.2749210596084595
Catalunya,"[23, 56]",0.2749797999858856
Catalunya,"[31, 53]",0.2749919891357422
Catalunya,"[22, 55]",0.2750265598297119
Catalunya,"[34, 51]",0.27504751086235046
Catalunya,"[20, 54]",0.2751047909259796
Catalunya,"[18, 51]",0.2751941382884979
Catalunya,"[17, 50]",0.27519741654396057
Catalunya,"[28, 58]",0.2752900719642639
Catalunya,"[22, 57]",0.2752985954284668
Catalunya,"[29, 56]",0.2753222584724426
Catalunya,"[34, 52]",0.2753702402114868
Catalunya,"[21, 55]",0.27557823061943054
Catalunya,"[35, 51]",0.2757950723171234
Catalunya,"[31, 54]",0.27579548954963684
Catalunya,"[30, 55]",0.2758023738861084
Catalunya,"[22, 56]",0.27589914202690125
Catalunya,"[15, 50]",0.2759671211242676
Catalunya,"[32, 53]",0.27598512172698975
Catalunya,"[18, 52]",0.27598515152931213
Catalunya,"[30, 57]",0.2760542631149292
Catalunya,"[35, 52]",0.2760899066925049
Catalunya,"[19, 53]",0.27622705698013306
Catalunya,"[27, 58]",0.2762381434440613
Catalunya,"[25, 58]",0.2763617932796478
Catalunya,"[16, 50]",0.27640068531036377
Catalunya,"[21, 56]",0.2764508128166199
Catalunya,"[24, 58]",0.2765309512615204
Catalunya,"[26, 58]",0.2765621244907379
Catalunya,"[20, 55]",0.2766123414039612
Catalunya,"[30, 56]",0.276668906211853
Catalunya,"[23, 58]",0.27669116854667664
Catalunya,"[33, 53]",0.2767328917980194
Catalunya,"[32, 54]",0.27678990364074707
Catalunya,"[17, 51]",0.27691298723220825
Catalunya,"[19, 54]",0.2770366370677948
Catalunya,"[29, 58]",0.27704909443855286
Catalunya,"[34, 53]",0.27712759375572205
Catalunya,"[31, 55]",0.2772969901561737
Catalunya,"[33, 54]",0.2774210572242737
Catalunya,"[31, 57]",0.2775568664073944
Catalunya,"[35, 53]",0.2775854170322418
Catalunya,"[17, 52]",0.27770400047302246
Catalunya,"[34, 54]",0.27778518199920654
Catalunya,"[18, 53]",0.27794891595840454
Catalunya,"[16, 51]",0.27811628580093384
Catalunya,"[31, 56]",0.27816343307495117
Catalunya,"[35, 54]",0.2781885266304016
Catalunya,"[32, 55]",0.27829134464263916
Catalunya,"[30, 58]",0.27836862206459045
Catalunya,"[32, 57]",0.27855128049850464
Catalunya,"[33, 55]",0.27892374992370605
Catalunya,"[32, 56]",0.2791578769683838
Catalunya,"[34, 55]",0.27917128801345825
Catalunya,"[33, 57]",0.27918365597724915
Catalunya,"[34, 57]",0.279432475566864
Catalunya,"[35, 55]",0.27954408526420593
Catalunya,"[35, 57]",0.27970972657203674
Catalunya,"[33, 56]",0.2797902822494507
Catalunya,"[31, 58]",0.2798546552658081
Catalunya,"[34, 56]",0.2800390422344208
Catalunya,"[35, 56]",0.2803150415420532
Catalunya,"[32, 58]",0.280857115983963
Catalunya,"[33, 58]",0.2814895212650299
Catalunya,"[34, 58]",0.28173828125
Catalunya,"[35, 58]",0.28200194239616394
Spa-Francorchamps,[22],-0.00845505390316248
Spa-Francorchamps,[23],-0.007640647701919079
Spa-Francorchamps,[20],-0.0076061575673520565
